Dataset,Best Layout,Maximized Power
Perth_49,"[266.07902458437746, 426.6894228490751, 705.6362808118744, 135.14961031203333, 479.73532731178557, 286.1423482833783, 358.61489104326904, 531.501425081631, 500.26424288916735, 310.3811592485223, 850.5807365768155, 524.9848005506835, 558.5237217317583, 646.6576861222032, 817.2824285450837, 288.8242186795823, 604.8292963114515, 47.01395667188058, 212.7081519847539, 613.0952956920606, 874.448342935528, 896.9632130093738, 509.944076165085, 544.5260808357541, 447.71030781810106, 129.03279951997428, 322.6228383955335, 237.25900269551005, 90.17729463915214, 790.5953381466437, 491.8483026295573, 710.0261957795349, 888.5446185231914, 881.5149525779226, 686.8830529664036, 771.9866828212488, 67.33223846604119, 71.03319333981761, 595.8145591883011, 873.4111710267825, 28.00592971713922, 374.93097026459475, 921.3941552552825, 907.8437571758126, 147.3324653153376, 615.1840961197904, 619.3760309394416, 589.2754911175033, 754.1827432257904, 133.25299168356275, 349.9093520777117, 539.8560246451967, 212.82529158530096, 143.41384762468257, 963.7789399562635, 728.1439516592748, 427.5488680632296, 587.9202494566774, 233.78894747831347, 925.4313624147298, 389.62096051678674, 6.489674135382262, 464.5793709046776, 982.8604337789144, 139.10865893139524, 860.15152320683, 199.50708992914323, 616.3802106944875, 962.6132311453006, 947.1251584577946, 703.4642492687409, 110.87363622525115, 12.081439687516294, 829.0887666084792, 198.8004920266786, 606.8192243386766, 640.8947829965126, 457.89484911905254, 961.3108868500435, 356.0710199312795, 136.87669014021387, 773.0070394139357, 442.0844581773629, 81.74245065577846, 517.3411596592038, 833.0475327059968, 699.2459963950453, 981.9702812383797, 571.4839498317441, 223.93083211960996, 558.9332136719178, 723.7926101579081, 99.10394260684375, 895.8763109601289, 565.3582388630941, 992.0325624879222, 614.1302867642519, 339.03817624648315, 527.1011155891234, 904.9253176304782]",8204922.85
Perth_100,"[522.691833190651, 777.5926791488195, 957.3301222244088, 861.4574871705266, 36.79135623747021, 837.6959613747963, 576.3724330595164, 761.7014763429352, 529.0693114306101, 840.1067311756792, 33.73963714417927, 293.0429876568343, 823.7869246259676, 117.66694247528575, 488.3290088809658, 301.44859383201594, 647.3886898703421, 647.7247315020333, 308.6149110899219, 11.740453909495518, 930.5958671245753, 654.2420081456247, 159.59176081301806, 232.58710320735665, 297.2040196609874, 519.288593817036, 373.22506558236546, 339.7363134828756, 964.5967858160966, 744.503606811372, 674.7288272725206, 217.52034355599682, 568.7612176163389, 680.6894040106382, 161.0684842666673, 932.0779461618818, 331.70779232602956, 564.8377184868446, 409.22836973225805, 21.131570792216614, 350.2649029774539, 11.220541196761747, 292.85235080726636, 675.9540675592754, 630.1965126521452, 682.5015872445637, 784.8055470068073, 669.9796572685053, 254.46110053041826, 703.6655696162503, 744.4185134801152, 592.8633305151152, 10.516163705431847, 374.6847896255268, 122.7561966752646, 290.3734276670775, 794.8689117779734, 397.1059750442244, 323.26284374506855, 238.2704272351963, 195.82117371255038, 292.48783219988496, 252.27946515069488, 574.8946460724492, 890.6189834778814, 396.0975619057121, 32.13365558445969, 411.4081248642871, 627.6176838732342, 270.5000692120174, 838.599976611686, 379.22702680450647, 501.15597660195675, 457.04856869126684, 518.6956504888179, 732.1402852292887, 383.4398260049745, 476.8561290226978, 54.472566899856915, 579.3722598227919, 672.6670361223647, 408.47412118296586, 50.828293851089335, 71.74881862438309, 762.1189431224298, 528.5331177120964, 980.1618884342917, 4.644654547773519, 211.84086146453552, 599.5425083385201, 398.98419644788385, 652.6508510973081, 529.2757321946121, 438.6538367961471, 562.7714043647547, 683.6647918829045, 68.69073398446501, 354.52813240753034, 738.8031860388198, 606.5172576697485, 17.467248719732154, 49.84109860332464, 196.923770102709, 708.0571029278967, 999.1961929909622, 959.4025794820391, 507.97756884500035, 987.9888626353429, 772.806836555041, 943.5815424960765, 652.7855298801408, 696.3033093801557, 945.7953280096408, 375.60187884622974, 382.9170794582355, 924.139657778635, 873.8360124909409, 786.1241389658994, 752.0624793503085, 232.7927677778917, 27.38090663496784, 118.18603985033383, 74.9454714274046, 264.80688509616147, 657.5682426872642, 484.39250834266846, 625.377128264447, 19.045936786595274, 224.01126381594105, 4.279477475102711, 67.45278411573219, 711.4506546482983, 459.4695039463322, 31.709741776406062, 612.0158096211976, 739.5470304366922, 759.7117339462474, 790.9234019463793, 915.9706313658809, 591.2302972368699, 367.2322765658036, 982.2227131922215, 69.62095062871666, 521.3787994114062, 914.8962591147589, 95.18756082907065, 391.88823368213446, 325.90526701924085, 705.2288147260944, 698.8501032698749, 268.0116378412175, 21.167391021716607, 781.8802106233427, 35.915209372283655, 144.49009696300465, 355.2750294739909, 561.4139548045073, 105.92461425343525, 140.4497710004795, 481.5699149521019, 23.031981761942212, 846.1157531334478, 56.75191050526629, 124.96776736639725, 68.54945832224068, 64.48299062907114, 416.4885979764905, 619.2130400242887, 31.83138301731092, 511.6932240502389, 886.7191218496464, 979.2566591688018, 520.9481826211157, 823.7656316205974, 532.6970954966401, 96.12509553270132, 184.0529134894251, 956.3278913976341, 406.072924642665, 249.99847396034835, 413.7057587613142, 487.7642003187296, 222.47902772483374, 333.46036685932967, 524.4882453895866, 490.572041706292, 965.9432962712468, 632.2357398109989, 537.4961566451924, 270.61140474648795, 778.6957555286301, 567.8806573382731, 813.7265613797027, 706.9237862241557, 566.9627277952183, 893.6681377510797, 98.88075846703937, 197.83447331632732, 750.220715602095, 4.284011760596451, 820.6885346697458, 905.9034647568244]",14515970.079999998
Sydney_49,"[821.061803216295, 510.9801393812497, 743.4491793724677, 684.4678876871886, 424.3322431213609, 670.3205562313448, 350.14406922037057, 499.8589976529482, 571.3438017151694, 302.99911279082613, 221.381141297754, 273.0880022451708, 412.90365129571063, 474.511117122818, 624.7201129970268, 47.222637522881584, 402.5620836387362, 398.68341883958544, 756.0891769315047, 220.1794197778455, 604.7770120466785, 58.069717626518134, 103.61359516844071, 932.5540874288185, 755.3111387544988, 338.3394005961036, 430.203178222082, 781.143055170936, 612.2911682147333, 694.3707303301802, 369.9127101896599, 69.73695700127769, 970.9714512815121, 423.74276994538417, 913.7256442042187, 516.8452745073715, 730.433592505549, 599.5292189401906, 419.6766535627485, 849.8403456956767, 676.5288217522851, 210.04018718797857, 30.159888039592243, 424.3839058548567, 113.1581706477952, 459.58375745478196, 30.702355461532882, 433.19249605128005, 992.1641505231737, 361.25410869596107, 826.7626483401187, 837.3454077969993, 439.98265955561766, 496.2882528106981, 61.82608399357281, 904.6998231853394, 203.51311235391688, 279.2158898077347, 975.2216847237191, 732.1198866300737, 698.3591558373139, 968.3670989423239, 646.4060962776798, 960.3080574531327, 556.6609377203223, 828.0190536979503, 260.18145015325734, 693.7748547832072, 215.21773468455862, 593.3630393132178, 965.7858861983351, 79.3251592445845, 433.54870935981006, 512.876157104321, 769.1097875573009, 16.50786670839155, 165.4502102922063, 615.406957658507, 203.7926698647371, 792.3755080448282, 390.3832828483414, 180.52816712865072, 285.07751555258665, 690.0229742054117, 745.541845594741, 228.75294497263664, 664.8148919710661, 538.8182371376846, 602.2088982584854, 766.981531320221, 455.5617622822944, 978.1981487701793, 686.9006631369134, 978.6931746629232, 994.1802926372122, 99.41923741472681, 456.9709617955211, 264.92331693569406, 992.183326598558, 479.72534571605894]",8130842.640000001
Sydney_100,"[354.9516123247185, 536.194537688629, 655.2264079058546, 38.12460701897547, 730.8267443037491, 888.9783993346, 399.7694954387131, 967.6136890749525, 535.6752547670436, 105.57133773987792, 259.43759051196537, 340.68971628508496, 928.519675478383, 994.7228515285275, 382.56317700762855, 402.8876838990604, 75.50280112624552, 360.683580797507, 648.8267961169145, 467.96697910797633, 643.0135416410112, 978.9719741612367, 295.1794470954303, 640.5934757437728, 419.45215396206146, 887.3635178844817, 417.68725773046566, 344.09334399407174, 206.87754146785264, 263.7987068282101, 74.89210067613728, 574.9867746885253, 978.0342827130245, 513.5293987556042, 744.849242878495, 763.1011462812132, 805.7605967799028, 563.9996903474992, 252.92208798528694, 757.5572228011868, 411.290118127124, 413.81688415927266, 946.5160460885905, 851.7194744134061, 136.16340472152544, 206.7338754048017, 301.7542577289721, 763.6977072018758, 719.7956788963039, 624.2164031214402, 24.18778239368835, 750.848471214121, 691.2478969321209, 134.76804104187423, 836.7211187137044, 5.769241817806026, 640.798190674981, 231.74476499077545, 258.6285022908053, 785.2537720376561, 592.9418048592257, 851.8780933294705, 222.03714222970473, 583.6653252421927, 668.4775054060024, 428.21785414604665, 926.3907135801522, 251.82400249960767, 953.6251994233447, 7.088512366017152, 994.7237291538484, 740.8747684691106, 361.53552034917703, 660.3195127438978, 789.999976390302, 651.1696333604089, 673.6388130440977, 5.450470239678373, 222.20621412090645, 919.5869070800419, 720.4428502742329, 653.275286695924, 546.0227255471344, 732.3679138482065, 88.36546190791606, 411.1412503404782, 960.3083964961531, 955.6727188820672, 198.1027330898406, 583.9751918788037, 141.10210051405969, 242.84801544242518, 788.5497741966481, 15.226368683075364, 681.3841438056878, 180.94558546380622, 88.74421556471812, 25.82291355949018, 799.0281405017342, 66.23807141233983, 500.9152633429834, 984.6002047671622, 363.39564266842206, 219.65598963274002, 262.4650309012381, 579.87586487153, 999.05247600665, 182.5467791161298, 349.21190036639405, 160.46358435054353, 558.9751750256362, 195.0981298055039, 489.9074365011321, 445.0703898390635, 594.1020161796056, 479.71704143476876, 240.77143314594673, 553.5487470951084, 836.1460074906557, 423.6833641950789, 379.18116746522634, 298.3859070798295, 758.745803253928, 764.6106316312934, 300.2797111094716, 297.2537150674718, 285.1025570754181, 505.8069738719009, 307.92340938040275, 596.4175147841845, 22.222622524224576, 413.9001257360981, 783.9696572991278, 950.6360869232418, 966.7761226527091, 464.82448215371994, 728.0050858160521, 379.08261059478565, 128.0004185108885, 8.197390951611649, 681.1978817313521, 530.901469578345, 908.3950872786219, 952.1958992388651, 28.62885360738798, 710.7395507157147, 597.5309548544462, 153.51321680823858, 592.5450758580619, 977.0672876886744, 382.5108469761921, 487.631624377148, 797.3775550832166, 424.1557572743145, 465.8594671280184, 56.46257038248592, 445.30938242010666, 902.711566113905, 970.9453350019073, 51.39741890836158, 595.6933501132029, 294.98973045404284, 915.8102288017948, 388.51652463637856, 738.5149566189914, 364.64616203578373, 740.5812057530865, 72.37932685340465, 889.8320034600833, 663.3238682065739, 790.0987527434395, 274.4297767155437, 255.35003184383453, 212.15722447009722, 483.97879000803215, 939.0026185834948, 425.35355266513074, 189.39012387937115, 382.8367728564174, 608.208939427957, 371.31623168609497, 809.6060170525369, 80.46976219245639, 185.3475840601556, 272.6591396013979, 7.398993169444146, 257.9629413557518, 414.47844133916044, 444.52269256318476, 819.3133519033701, 768.8686762647628, 129.46187105734865, 921.1285350378085, 444.04967642838113, 490.4431310720851, 65.98631491258821, 415.72645908119, 968.1466785218194, 557.5947029793008, 335.1521518850049, 502.4227354906997, 199.61841643179378]",14494982.82
