Dataset,Algorithm,Best Layout,Maximized Power
Perth_49,bGA,"[[-0.28762046359838433, -0.47484891041663024], [0.5912160155539516, 0.22173152034674648], [0.7953377305071869, -0.7069193037426265], [0.018249482460304556, 0.8720139822964066], [0.7503289505937383, -0.5284580447810305], [0.5303171733116261, 0.8808231914288758], [-0.4779713594308901, 0.5521687135746691], [0.8974380462598219, -0.04056891919877881], [-0.9402747136436318, 0.21852443273438316], [-0.18633381087582734, 0.061217876112993785], [-0.6358705054482968, -0.9489541038559111], [-0.939822850818123, -0.4173610036778749], [0.8260778136872593, -0.4847568716036341], [0.38334814856493926, -0.5874893542375967], [-0.7303225913739977, -0.07064286084898896], [-0.9683706154933756, 0.9628660667796751], [0.16922292617627765, -0.7713522246882982], [-0.48985539346502405, 0.018684775194071968], [-0.9045126409683418, 0.8397369337003509], [0.6145425324005642, 0.20698080083670622], [0.5460314019331753, 0.15108982178836539], [0.8788891398575647, -0.0648402889025298], [-0.6879357602577139, -0.8532325581679511], [-0.07000956147937665, 0.506973967163979], [-0.09725490502282697, -0.3279542722688399], [-0.6618101496043847, 0.8951331941823124], [-0.8611700493446007, -0.5082779380165916], [-0.9088167521004901, -0.02865263905086035], [-0.7987282812216365, 0.5652330984244673], [-0.27112696382781754, -0.20434609664517933], [-0.3680681397935194, -0.6512974992781132], [-0.7766439848138089, 0.6662558217720933], [-0.7212068951489596, -0.47334037641705207], [0.34897170510803766, 0.9119149420236035], [0.15293065169246955, -0.2548873798515612], [0.9300832727576278, -0.6886681821545417], [-0.9944296477565064, 0.20686182996218894], [0.6233520991609125, -0.6047720195285088], [-0.7428859991695285, 0.38354961227028417], [0.3272630967874257, -0.6748855017091484], [-0.8971775143497441, 0.003435582024919448], [-0.2894984868019368, 0.8948162166719502], [-0.5658729543052003, -0.6091348412375105], [-0.3009080082448723, -0.13945702133944693], [0.853467638893951, 0.6282213815516646], [0.12360111247304406, -0.02459630443442773], [0.15294495680764197, -0.7117590818333352], [-0.9065239997662305, 0.14557066993625978], [0.8947609035599502, -0.26420167875890965], [0.1756662480731681, -0.6496640339393626]]",[8204922.85]
Perth_49,bDE,"[[-0.31611283806053525, 0.7597533255988824], [0.45744947287196513, 0.5165000989848105], [0.31007049032121725, -0.0322018443945824], [-0.6932975528796399, -0.882047194852773], [-0.4063814066557976, -0.11565291139794831], [-0.0910094620245252, -0.42144038802201367], [-0.13852013959032417, -0.2533492502175436], [-0.8925739503177244, 0.4366012631177295], [0.146608706706147, -0.8435316653012352], [0.5179540669973104, -0.6476864724479567], [0.9714581865397938, -0.4396569740634668], [-0.389706836584383, -0.29851882497857174], [-0.41533404882439684, -0.6777464816620657], [0.9583387062578781, 0.6448563658389144], [0.9586213379841189, 0.13276505318360088], [0.16636121999896458, -0.8310151287012628], [0.3301301651099058, -0.004626005846992354], [0.74945393239977, -0.8919775056217063], [0.5125450017496576, 0.39970002738571386], [-0.21637134466573138, -0.4166935052991787], [-0.9566801404573702, 0.6439122868164466], [-0.20484566911384827, 0.6833147946023863], [0.4655609784194765, 0.05479233056374233], [0.20571620117690337, -0.053534971153136324], [0.9453762428365629, -0.6784669813856308], [-0.8535249489937577, 0.8843672050178015], [-0.23742791581753964, 0.8522803471917224], [-0.37321063972039226, 0.2841286130276597], [-0.09463982251489744, 0.3412092930017909], [0.181796902527257, -0.3339097516521641], [0.460009650994047, -0.2506912243763959], [-0.22284316051207687, -0.13741904183402665], [0.923110765829912, -0.9993671770283377], [-0.1276228436205894, -0.08596750720504065], [-0.02437408283504694, 0.25881702514479277], [0.4215861804683789, 0.4479337544073536], [-0.593235981466981, -0.7267910854872472], [0.5691238188070549, 0.6700797926512891], [-0.14171066037940538, -0.36789633933182775], [0.23977289014423708, -0.1516745075403063], [0.18063678844920616, -0.11774723359779049], [-0.31257932512900144, -0.4688491996676225], [-0.0844488248479267, 0.47142238774265954], [-0.6080362512758746, -0.43990500853047165], [0.5487967382687899, 0.7662273476541479], [0.13347257574031057, 0.27241698158953365], [-0.3839570976955833, 0.18175117895591364], [-0.24817413935339783, -0.41129067361636407], [0.8749273822827677, 0.8750486930796295], [0.5016373834133161, 0.8118666176392444]]",[8204922.85]
Perth_49,bPSO,"[[9705.848217029998, 100000.0], [100000.0, -41694.7801193352], [-100000.0, 89147.17940202611], [-100000.0, -92281.159123496], [58859.7326950514, -47000.97619673633], [100000.0, 84500.14979269251], [-61122.27232044299, 94163.28137591138], [-63185.30967148916, -345.41528663357894], [-100000.0, 100000.0], [-74829.24476908142, 46073.909040915656], [-100000.0, -54339.72827913193], [100000.0, 68256.45820886412], [53243.21940378896, 70098.04629370073], [87278.62731324692, -64368.61925638962], [15947.67599739389, 10297.400902695754], [-100000.0, -90266.26111393444], [39818.03537610018, -29919.42767517773], [33658.92964321224, 100000.0], [-188.54141599226568, -100000.0], [100000.0, 97050.03018002844], [-16363.11072808379, 36473.878239814076], [32353.921346211297, 29683.172812923578], [-100000.0, 15240.409068081455], [36554.20691290453, -10387.736692204995], [-31380.86705767701, -21167.15971429091], [100000.0, -100000.0], [52056.12102851842, -100000.0], [35903.25867270569, -75520.41364389774], [30889.993478959354, 84763.2974966439], [-65050.91067798493, 13813.390752014966], [-70117.10935060342, 59774.30300706765], [-100000.0, -28934.55858125292], [-100000.0, 58105.46074830934], [-69994.21243434586, -89668.32247863623], [100000.0, -100000.0], [-85801.91279966675, -100000.0], [-100000.0, -67648.24081158114], [-100000.0, 18260.1510827429], [100000.0, -93140.11182992693], [32960.013945741164, -28999.838312235428], [100000.0, 100000.0], [48670.862047759176, -100000.0], [86416.21478710792, -7507.843470463504], [50474.4271360073, 100000.0], [63371.63471313518, -32502.41392422648], [49738.893283259786, 2351.3221014564842], [9776.470940783358, -27260.02718152672], [100000.0, -48153.97649559886], [59293.81133138828, 100000.0], [-100000.0, -46320.99119659737]]",[8204922.85]
Perth_100,bGA,"[[-0.34410427046132896, -0.7446279449650033], [0.9928967950611352, 0.025458783670031515], [0.41395877045270124, -0.7322985450118347], [-0.6995416790110374, -0.1058857770528131], [0.29788414531600904, -0.8572997408300561], [0.12759337209443378, 0.11975768565409428], [0.16679707666626808, 0.17163280164101136], [-0.12327859173055267, 0.47867809172505416], [0.658803631627668, -0.9613832819874073], [-0.5544804797911786, 0.9520832881952312], [0.2634855289305904, -0.22048661769886668], [-0.14537427262587166, 0.6688217422014995], [-0.9902619716603152, 0.6409960878192213], [-0.1425617677736809, -0.03700122347477741], [0.6313273200788296, -0.010726005158603336], [0.9973936676202317, 0.5853359575669752], [-0.44912920740631845, 0.6105970028220713], [-0.31578854667510237, 0.8467157437418622], [-0.5723519197807287, 0.850098426642967], [-0.48308031210542657, 0.4068860830928709], [-0.32257805235916537, 0.6149406318348833], [-0.7736954025535405, 0.46033219874895215], [-0.3918369827221925, -0.04667118330810016], [-0.18376753281854186, 0.8788902127412026], [0.04288610943812454, -0.058713229260242805], [0.14725932917771734, 0.2717776081495764], [-0.5877750989131658, 0.3038095028343648], [0.9533716426304473, -0.8546838717068396], [-0.5273086287769266, -0.44081453802628934], [0.9692807784462207, -0.8210110014978349], [0.8464150979046552, 0.6574244993157536], [-0.35424296123513466, -0.7764418058527054], [-0.7306207338160495, -0.8085542264149852], [0.784031444312079, -0.6248345263253011], [-0.831481153711115, 0.8884553280012408], [-0.3833458835883702, 0.0905760255627639], [-0.10587683635583034, 0.9792916768578195], [-0.9329059700043789, 0.7620310116419498], [-0.24995312839606787, 0.345139960799812], [0.6343505273565808, -0.2615384239416845], [-0.6943368224601991, 0.4697426399511886], [0.3445481462641997, -0.6690852543439048], [0.4494850471462324, 0.13221934831796145], [0.7122883114900682, -0.7201354420225454], [0.7070631297547558, -0.19033018321782902], [0.6126533631281066, 0.6764699720284335], [-0.6526505247548379, -0.19850496049240118], [0.9944063423397047, 0.7931227026320309], [-0.9540312872538355, -0.4551130370829415], [0.5107779357069115, -0.427207631683577], [-0.8791066968174784, 0.5537620053816439], [0.059131773088329176, -0.5044994206577367], [0.796496027603627, -0.7660027672649254], [-0.8482944324104319, 0.04419753087155609], [-0.37354449550940083, -0.3673548509882346], [0.8911476698859833, -0.1983538627133925], [-0.8315602490770891, 0.31372914653209283], [-0.8009762704663357, 0.884250220187015], [0.8146616761285566, 0.4413937759814792], [-0.37502209469741865, -0.6926552561716812], [0.5740579239743329, -0.40679941793678454], [-0.708585492032334, 0.3321488300606259], [-0.12671885272022643, 0.14548680619856147], [0.24546764032446267, -0.08856120969537529], [0.09877005513817227, 0.15163931702492595], [0.8805332744280481, 0.3946541963414609], [0.26039842547173575, 0.7361554424809051], [0.9641516794011498, -0.3713701180031931], [-0.35355643491615163, -0.766386978816598], [0.4824511254564263, -0.24719373128395472], [-0.04463675751199592, -0.9077274175801103], [0.29574636506278407, 0.40979997544884617], [-0.3169221078432235, 0.20240584619062685], [-0.5242145515744254, -0.11316237190849698], [-0.31231377459507503, 0.1404802543068009], [-0.6146483902528402, 0.19882372614215993], [-0.03303536871181034, -0.9284331181178426], [-0.3096638116140309, 0.8076638522047952], [0.442798776709997, 0.3905339059392783], [-0.09520426676286065, -0.03437063200386259], [-0.11713114729914509, 0.8076847734357349], [-0.5143068288060078, -0.7012103110912535], [-0.7978657423813862, 0.9357308130184059], [0.5520990953474967, 0.8650307615110504], [0.36050180675094734, 0.8525510982439248], [-0.9111527774081462, -0.8136224691159268], [-0.003313094476255607, -0.844631071228715], [0.5019805878991064, 0.9405379873674509], [0.7181901847776826, 0.10847571815477952], [0.6832600141543155, 0.3826589400368614], [-0.98231178469395, -0.6816559339063148], [0.7201926028785886, 0.3856663520832764], [0.49513874933537094, 0.09488484546198972], [-0.40115920904753233, 0.4510969356029313], [-0.25729755333952764, -0.8717164359008204], [0.8757288418927445, 0.6613179940378069], [0.5575469600423264, 0.3095267209269619], [0.062386425208640794, -0.5817825073534997], [-0.6153560762213491, 0.0813156092558982], [-0.49174450313283513, -0.10528168396001114], [-0.3821484262391456, -0.9190198754972182]]",[14515970.08]
Perth_100,bDE,"[[0.32865528054666404, 0.14135632778459084], [0.7828882874415795, -0.7670924146228475], [-0.6200289088257018, 0.4078380970667339], [0.08112378972510981, 0.2262989610410564], [-0.7045498770004404, -0.2090781270242441], [0.1502869470151833, 0.11401059444501527], [-0.8995661960090806, -0.6555965428450352], [-0.7424860122724923, -0.7588683313290246], [-0.593536071647744, 0.7280438975745775], [-0.7156702564932025, -0.39094937253217166], [0.21923082383834247, 0.768433450643093], [-0.7086993129571929, 0.6416697766030934], [-0.5038558477857829, 0.24820178153049754], [0.9508915304261865, -0.447452610052395], [0.033551925970322194, -0.21797675035875774], [0.2648813639901946, 0.4231601921449797], [-0.17217232432542828, 0.11995837973308676], [-0.9482477456772225, 0.2742003345054611], [-0.14329159770135502, 0.7783654348687961], [0.481058644435596, 0.582509093229463], [0.6547614950189171, -0.15614267130868198], [-0.009546257841092975, -0.0956806372237351], [-0.3623786825264004, -0.563067225475105], [0.15529141134973012, -0.5135028095080748], [-0.096788040875466, -0.46470001946652395], [0.1820895048524247, -0.5082822479432003], [0.18171942556692855, 0.5833929199238557], [0.03688354057997745, 0.7039744641519088], [0.8820797709852353, -0.4497003590085147], [0.4161945026586191, -0.6500501924101153], [-0.26002056034752574, -0.17434449587775158], [-0.29673887971462387, 0.6166066810191093], [-0.15630076025170447, 0.41225090480328686], [-0.5210721682599283, -0.42425254883942276], [0.9982405683863586, 0.29762597358737297], [0.13162394571834102, 0.4650759210765274], [0.7513025254433066, 0.4084280958764128], [0.545123380490266, -0.8561611149899473], [0.7530523343653011, -0.17734182451715685], [-0.36533208524872696, 0.5621620109978644], [-0.7733659857614525, 0.10427254740085878], [0.7471267080138018, 0.9875845492465354], [-0.20953127187530263, -0.846756752433983], [-0.31418507305185495, -0.0350577291054911], [-0.25794468293522654, 0.9829809711347335], [-0.590620878602679, 0.9106933317350352], [-0.9228936459201563, -0.1942494710817757], [-0.761908487211474, 0.847291160423034], [0.9481490817926002, 0.9894780714251412], [-0.40984811066650306, -0.5910262811232352], [-0.6764644260595671, -0.60953843553914], [-0.8075975206136647, -0.17716814168119277], [0.8769236503208855, -0.9607899303191911], [-0.38689107040499304, -0.5509094532593664], [0.5665873011789206, 0.24685409708454165], [0.014074451490843187, 0.2804308120589406], [-0.15671398585487184, 0.0746681920691128], [0.9338024239178917, 0.07115121144754832], [0.5117970795456691, 0.8262448543683489], [0.1552947079402639, 0.42587703357465156], [0.028466746142144395, 0.7768187199459387], [0.18392786986729914, -0.35379242778713316], [-0.23812026337060366, 0.08398800285324648], [0.2899007540053484, 0.2888360325766761], [0.09633733481513229, -0.996894529180198], [-0.8240452964549254, -0.11674446210679035], [-0.8176994102416406, 0.5066047216023901], [-0.22984728003118793, -0.3180114122607871], [0.14595160005212016, 0.725975711884038], [-0.3594793538862965, 0.10906185179560857], [0.9103523655178035, 0.42883972300172446], [0.96684194899471, -0.48554955719670034], [-0.9978022448436101, -0.33728301088423596], [0.3897935447068155, -0.33250296632973964], [-0.9915172536458017, 0.0641374181182508], [0.8983877125658342, -0.878981519538687], [0.6254950072725282, -0.6253628484724117], [0.3999681065673002, 0.8215510192329609], [-0.7808453792241179, -0.11388143638429626], [0.8839866502304865, -0.42591632161644344], [-0.9476634670908066, 0.23084573341882475], [0.24839397032163024, 0.7536707093496626], [-0.7103530636809139, 0.5322007403234175], [-0.2352883434023092, 0.4525216045187521], [-0.5246685358120222, 0.10662089022062693], [-0.2645388441938292, -0.24302916160113752], [-0.6394075715202268, 0.16742031328746143], [0.1725629622387237, 0.2212188171880154], [-0.3998023510082418, -0.8215077679514426], [0.9440057626218172, 0.4654141346843217], [-0.38254005244087264, 0.30970065664755975], [-0.4790665627154942, 0.6375269882333467], [-0.7171794237525295, 0.9077521412284215], [0.8249322013596718, 0.5907346514780775], [0.6461517734822273, 0.10056283251780163], [0.4864337342408165, 0.4507560575626428], [0.06982824505429219, 0.9614157635486551], [-0.8183496709069978, 0.7371373812317927], [-0.4336388258332895, -0.7182292774420806], [-0.9534763448136332, -0.15659520093732748], [0.6703736909490672, -0.3356154952824031]]",[14515970.08]
Perth_100,bPSO,"[[-100000.0, -4780.0891476549], [89768.92927794272, 25132.166712957558], [100000.0, -100000.0], [-100000.0, 50830.443017393736], [-100000.0, -100000.0], [90925.81482885197, -92603.17412628376], [-95039.93032762848, -56316.73242539027], [100000.0, 82650.29397263817], [-31082.9623702978, -84599.91190672579], [77828.80175337647, -95078.28175369071], [-55059.21530258242, -5459.517738897688], [-4109.054730904754, -7291.006161984093], [95308.4849533801, -30566.584651662473], [-15692.479629592592, 12563.886366974351], [99761.42066805359, 100000.0], [100000.0, -20035.81459187172], [100000.0, -100000.0], [-17960.01336671358, -100000.0], [87651.40622645391, -96529.92947037642], [-100000.0, 97562.83986039434], [92198.9039496881, -98966.79534646211], [100000.0, -95177.30119623282], [303.57281832312583, 100000.0], [-52997.47087110308, 100000.0], [6958.266722864537, 24702.1359709874], [48715.09962319772, -100000.0], [-74711.81195109506, 44191.38760042027], [50733.30504776562, -70670.32318355642], [-100000.0, -100000.0], [-100000.0, -73002.70227190095], [70405.61010161096, 85615.83177704093], [76945.61317845518, 20457.226750403046], [100000.0, -79881.77279913283], [-52938.63759792167, 77515.56915721192], [-56590.33854230214, -61794.77139945919], [-100000.0, -9194.556626333888], [-100000.0, -69966.40425567533], [-86474.93530324339, 13520.823530015245], [100000.0, 100000.0], [100000.0, -100000.0], [56032.613037843315, -87215.62949407462], [100000.0, -100000.0], [100000.0, -2639.034049203612], [6259.435118365844, -100000.0], [-100000.0, 226.78744440538867], [-70091.0238675646, 26424.715142326968], [-100000.0, 100000.0], [29180.338276109353, -66098.93565266643], [-85172.31858186061, 100000.0], [-100000.0, -55422.09056779034], [84894.12197508328, -17579.52383154414], [75804.71518004902, 100000.0], [-16666.51119364305, -99655.86553750544], [23276.209527963925, 100000.0], [100000.0, -98909.03665692633], [100000.0, -100000.0], [-32449.401306483356, 60673.278316185926], [100000.0, 16591.176564879803], [100000.0, -100000.0], [94288.92677597378, -100000.0], [-70973.95721418288, 62095.64945730659], [27325.53724861233, -100000.0], [57326.55803542465, 61210.87452516379], [-23421.675027502068, -31447.57293436717], [-39383.1483506718, -100000.0], [48480.361725531155, -100000.0], [33118.610398875986, -45427.646347543436], [-100000.0, -100000.0], [-9156.738535094613, 52700.34505503964], [57473.791349956606, 100000.0], [-85845.31605381492, 100000.0], [-94816.44477410978, -88168.65907164216], [100000.0, -100000.0], [-89333.15375678765, -6210.342079593791], [22988.320811205762, -100000.0], [30221.979709014944, 75300.39728348877], [7615.5043799338455, -100000.0], [-89236.82433403905, 54026.04733507904], [-8277.163939611666, 100000.0], [-100000.0, 46805.80795144563], [70162.25237746365, -91859.76684137888], [-100000.0, -1542.0637512606118], [90401.6233326433, -75366.93427614126], [-47269.815669361466, 92597.46007027937], [-12239.712880596326, 100000.0], [-83171.11569943425, -24460.300486337866], [-100000.0, 45698.65157831104], [-100000.0, -47956.948992654136], [-65573.70898016983, -13487.609666752105], [100000.0, 41431.87109802921], [-100000.0, 100000.0], [97099.49718281612, 54936.86176311635], [-100000.0, -100000.0], [-70437.8908885374, -100000.0], [37302.49523006223, 81337.27819549842], [-74634.6335373098, 100000.0], [-100000.0, 94834.76531942002], [-42242.038431494904, 30428.161430341344], [-89514.0083346595, 57033.84156583228], [17906.78726030882, -100000.0], [44269.213191952294, 100000.0]]",[14515970.08]
Sydney_49,bGA,"[[-0.5524669752260141, 0.3652699996611475], [0.6908836868668702, -0.6344541798369342], [-0.6105241063393386, 0.07158449505521336], [-0.9922934768287384, 0.9437569959091245], [0.45522425935340705, 0.5286464550687806], [0.1712032309533129, -0.9371057730050616], [0.6592390435707285, 0.8106933775750809], [-0.05908051309229467, -0.7617788839870359], [0.7130051169694995, 0.7587655114759657], [0.8001304209271198, 0.09031912953612586], [-0.9454500062897804, 0.6708319685111037], [0.6804373765122109, 0.7225949681578567], [0.5272216655976076, 0.14817956531582976], [-0.8502038672627171, -0.658495535209642], [-0.986902474966719, -0.7262426533175306], [-0.3229785955839931, 0.5810419196200942], [0.9229513979837716, 0.8271744795791649], [-0.11817548031137826, 0.8940996496111051], [-0.12338576088505271, -0.33442477388455794], [0.7117491874620077, -0.6579451459033832], [-0.35237894512352186, -0.5323034981579631], [-0.7542055175961708, 0.14475045039506118], [-0.8504971817283983, 0.28007362127523483], [-0.4941677300383964, -0.08989349275509995], [-0.05034819395387746, -0.04957834033901509], [-0.19260356404195922, -0.6101154568825798], [-0.721396199506408, -0.5447102649423559], [-0.35825447315736036, 0.903819319719652], [0.7202937519637869, 0.4892766323470066], [-0.38939045039982945, -0.7062275322147469], [0.8757436238450893, 0.07322743753276573], [-0.9596126067522945, -0.29660920192626716], [0.7636111904266831, -0.25043574721919737], [0.8560413675320555, 0.19249782539897642], [-0.4256772823833609, 0.5542898641315062], [0.5831913823840433, 0.09918412861776726], [-0.4853767599277723, -0.24859569217549837], [-0.5375100236389048, -0.5723855964060305], [0.06842711771807419, -0.41636763263844345], [-0.025625915098962615, -0.5207245803095275], [0.7708408764255308, -0.5811241144276891], [-0.01715406826597654, 0.37911204633450657], [0.7004310995468825, -0.1217977142869745], [-0.796439522398696, 0.19862393136691847], [0.9109627577949393, 0.40420780790471467], [-0.715391090970966, 0.5663889517303988], [-0.6322960147945885, -0.7741302184501355], [-0.4716119608763445, 0.38443730427137934], [-0.9081334444324208, 0.17697373559992724], [-0.6698049208463706, 0.14193967407762043]]",[8130842.64]
Sydney_49,bDE,"[[-0.48181167279769344, 0.7169803670600465], [-0.2486206858373765, 0.6057928009079319], [-0.38239943140569044, 0.27612625143140046], [0.33754955876981185, 0.18030689035467984], [-0.4764762041547277, 0.048094604964461274], [-0.0060305049717457315, 0.6662753233522458], [-0.6651192278250172, 0.8478347540460535], [0.9618573051809987, -0.7403800833543759], [0.47124941175494395, 0.7844349787904861], [0.5616790303979085, -0.22374337678657308], [0.5315880544286451, 0.1478076463413176], [0.35961439461455325, -0.6536038979368679], [0.9184040411713745, -0.36085196257048335], [-0.5977779714072591, 0.8611778922358377], [-0.7690229781209308, 0.39295903998597304], [-0.3279799815663871, -0.06977976343546377], [-0.37467291294224214, -0.1834795915858609], [-0.12166617766967969, -0.2838148001198192], [0.6839919031535902, -0.03325503664009899], [0.5268096475118393, -0.5399145172833844], [0.28288921848901505, 0.7755356379770009], [0.8829604845443586, 0.26488106460209293], [-0.22909697551406638, 0.2775333669297143], [0.3651986518857715, 0.6083948586081989], [-0.13271247509930295, -0.8966674549071176], [0.9965582405006156, -0.6120434134714903], [-0.8704049501399793, 0.17677010499551238], [0.7038729995370616, 0.4889169251583201], [0.0726098022611108, -0.12012215657843661], [-0.8008877699224879, 0.8375149186726549], [-0.6424663860515347, 0.940856298720848], [0.8802324825511911, 0.3000362876598045], [-0.21805607888064116, 0.11717002270920696], [0.624811214473113, 0.700521599480757], [0.9712895549020655, -0.2914519615571023], [-0.49842528279477327, 0.0791846692353615], [-0.1966471932527405, -0.32111651096164473], [-0.21338432946574892, -0.40678759004376497], [-0.22635703010440666, 0.7625755194004544], [-0.8207522871359044, 0.9350545579263547], [0.3890632589672578, -0.6586474459126777], [0.5605837203072492, -0.5200815170301031], [-0.6401394256709905, -0.5010820415979518], [-0.019200545711688166, 0.43660704102121306], [0.22382067496590063, -0.31221609672567485], [-0.8124260102756156, -0.2872168679052711], [0.15747891153954363, -0.41097787995499324], [-0.36610504530290533, 0.07349527398235667], [-0.389399811582958, 0.9033084980793833], [-0.8097537678059715, -0.22717040372577624]]",[8130842.64]
Sydney_49,bPSO,"[[22135.37389631439, -42612.70464076236], [-65734.53860225179, 6138.277498085514], [-21915.07913109212, 55661.584246186845], [50426.504945669025, -78153.49775330638], [-100000.0, 100000.0], [-100000.0, 13984.233495594948], [100000.0, -30829.066139497212], [100000.0, 100000.0], [-72390.13646883424, -100000.0], [73997.95214195448, 45564.774762422734], [36977.08291864213, 19599.81529137591], [88893.98497355456, 7758.331513804762], [50793.35675964147, 98835.18431134326], [-100000.0, 100000.0], [94488.56031992967, 100000.0], [-100000.0, -100000.0], [69842.49548487357, -87544.12914111464], [23928.489564281073, -10685.99510911927], [-100000.0, 87319.8036277337], [-100000.0, 13203.309538907983], [-83700.72286454539, -23841.438662533794], [-100000.0, -100000.0], [83116.97472822253, 100000.0], [96025.00506272046, -58520.86195510467], [-71548.39551722174, -82910.4858194497], [-91794.66919969731, -14986.169780068842], [54169.59954787477, 1178.238225219644], [-12858.275647519004, -88498.84932797613], [-100000.0, 14918.968706074229], [51165.41287713347, -49582.810728940356], [73383.19123146801, 100000.0], [100000.0, -60929.13168498401], [56007.23650866447, -46623.26557676852], [-100000.0, -89265.47162489056], [42369.329952298474, 100000.0], [-99336.73487246466, -89065.67278008752], [-54784.65091345465, 81986.21386925319], [93646.69007510258, -100000.0], [13989.414393540148, 17580.44397111403], [-38286.02716969788, -100000.0], [-44070.69436765184, 86098.98177650997], [1143.940006211189, 23202.871625510626], [44015.65976422182, -83924.9977449383], [-100000.0, -100000.0], [100000.0, 57150.11617794726], [-6219.786765042169, -92001.95108934403], [-100000.0, 100000.0], [-100000.0, 100000.0], [-100000.0, -42759.99486966769], [100000.0, -100000.0]]",[8130842.64]
Sydney_100,bGA,"[[0.40085123183879956, 0.6825303936758755], [0.9444397671353748, -0.529530928418962], [-0.3877937015233547, -0.586789893710312], [-0.8383306812742556, -0.7901546892569866], [-0.24685970684467873, -0.285584190058237], [0.15274349310229707, -0.436668796440029], [-0.7492117210987723, 0.17544207499748699], [0.3543598459470225, -0.7126241836733873], [0.6648750801347221, -0.7493292614617724], [0.6582970517366247, -0.9763851158733701], [0.8969193666255286, 0.9421368224065549], [0.252774097108069, 0.6729914448556735], [-0.008296042927981695, 0.14963290541270102], [0.4408726525566773, 0.5652435292376139], [0.5083864780779623, 0.6042513729408792], [-0.6855796481841698, -0.46451012684435034], [-0.79256992913991, -0.5378741484246894], [-0.7137033854038533, 0.7897506889626589], [0.22833631123114562, -0.7548066900612918], [0.1802042478383854, -0.04952767638944611], [-0.12293401726883701, -0.3196585571664142], [-0.6469489230796374, 0.03761080019506213], [0.6165679578950392, 0.6291304716208719], [0.6841557527826951, 0.6486637487609312], [-0.2055920125720505, -0.06888184156661759], [-0.31319425443393756, 0.036488325491199625], [-0.16777566575335456, -0.2565485613509584], [-0.5214925265757002, -0.7792627745647065], [0.3345345060388596, -0.8840732539914028], [-0.1628584016221285, 0.7431783003562182], [-0.10910013643205574, 0.5971154450510574], [-0.9591586577641564, -0.9813163870965358], [0.23602167475288138, 0.988843857909556], [0.3073854836042369, 0.7288556614177126], [-0.08143106345626905, -0.8273478098913374], [-0.18608478266253414, 0.4176205223089613], [0.4626770455442979, 0.2240839369322043], [-0.7176706706783376, 0.5595832335824737], [0.39791993492603117, -0.4332653711219242], [-0.48367945801256473, 0.6530772940241485], [-0.1641719688228359, 0.2913823512608513], [0.5135832283968695, 0.5570782291018435], [0.4829626525331334, -0.9179181432103557], [0.010371536325560093, 0.37643490363463483], [-0.5562318431208086, -0.9602199184960103], [-0.8061052503021136, -0.937200663602372], [0.2556136624697942, 0.6169173603331255], [-0.19405004960447703, 0.8605809766227297], [-0.10943433968527139, 0.7747079066845151], [0.28939191369390227, 0.2663320680359622], [-0.5156112168911462, -0.16543749467842261], [-0.1258891560402261, 0.23852131481532202], [0.3237131036434502, -0.6189701443603678], [0.31173900698837653, -0.6268688329121123], [-0.2192392116558317, 0.0484428718222043], [0.6384942423848583, -0.6116557601587701], [-0.40219805843228273, -0.5666892995443731], [-0.7933969436108155, -0.28055582286583847], [-0.3440869255091824, -0.4991888850685622], [-0.5412539106981131, 0.3383268516757145], [-0.8407629680860927, 0.22523400858742026], [-0.3609846043880166, -0.07295462706549849], [-0.6865994836866702, 0.4606047707976333], [0.21804676109691745, 0.3803865724917226], [-0.9183977221965111, -0.6065008523017422], [0.45457909865913093, 0.2797760748796485], [0.89328801313901, 0.7346024434149994], [0.48996792703771375, 0.09957877098258638], [0.005066007526695948, -0.6844056750656866], [0.3902619895417092, -0.7714644602377552], [-0.748035363794427, 0.7869963582455026], [0.36111287358739586, -0.1644631375212412], [0.816965336113135, -0.16306475290849065], [0.6248440034641027, 0.4628366071831169], [0.18258575149136047, -0.8874987330287317], [-0.437249345697443, 0.3956298648008665], [-0.9419575316297273, -0.5177831506068453], [-0.027135879610058034, -0.43853400464457293], [-0.0594940501300707, -0.23525176153337246], [0.9555647359956723, -0.8727408013564587], [0.7197878277238556, 0.06050381244730385], [0.6652799744987481, 0.34679220160222646], [0.4804634893078652, 0.04238042361677952], [0.15055230708576173, 0.12395659458507868], [-0.07653680671861196, -0.8746339045355888], [0.09745899133262004, -0.09735742501489597], [-0.7470817490542456, -0.0016104877475049406], [0.23716930261758873, 0.06036982120185552], [-0.46111003938645245, 0.8147951309321859], [0.24806926393715334, 0.8812292182811863], [0.3258302010843217, 0.8121115509304866], [-0.33776060753347303, 0.3758975081413243], [-0.2408262264974781, -0.30378178667371825], [0.946216760463022, 0.11271819808239325], [0.9365274887242165, 0.24550411836815234], [0.49918161330168287, 0.47650007833540675], [-0.44050310374805646, 0.6322746763311231], [-0.2642323751518838, 0.8577775912814614], [-0.3152339850435849, -0.3773571663307299], [0.1469715579441655, -0.42645530183480085], [0.7766997151583348, 0.6137803081804605]]",[14494982.82]
