Dataset,Algorithm,Best Layout,Maximized Power
Perth_49,CMAES,"[556.3444486993025, 934.0839729212188, 624.2515496827153, 488.1844429415858, 222.22386222066024, 600.8546116715287, 150.57074336603443, 881.9859296835917, 695.3208266432987, 870.8728048593479, 31.244859325834682, 758.8618303535643, 660.6714647596301, 639.2685611795171, 919.0775534488807, 178.77944062823877, 633.0613021429157, 754.5355108579303, 185.02475095921463, 256.06028361687765, 530.3057308269024, 165.66700033879934, 319.80337856331386, 197.9357337417231, 154.52475092703855, 646.8649131842885, 737.4697498970587, 665.8238711356626, 645.8163756573324, 634.0111173637675, 480.02904044890374, 592.9292563562416, 101.20697340720635, 748.3727122225694, 722.1031278330203, 4.798001737056946, 443.0178782153674, 983.5316123068245, 125.87848134872344, 116.5221603985041, 918.0096140169156, 211.0680284016671, 927.8338367806793, 125.89613933294933, 339.23271777228683, 76.3896454347208, 886.4256339692027, 668.3417599339804, 217.4378376733204, 868.6906997693314, 85.1644443266452, 943.5033899136316, 282.0601869321784, 57.657336552997485, 1.1217479836331992, 700.0878814582568, 500.25170959770077, 298.21284244423344, 200.7524272141079, 598.9491377431251, 899.0845785787303, 25.463273659127516, 980.6595607743382, 394.42004866291956, 430.1649657485813, 280.4355963484504, 857.3664558677068, 157.9524852395182, 883.236215712648, 782.8786429323802, 327.299860104323, 95.36761995600764, 501.02391852709985, 36.46673995341675, 655.7230719564004, 346.664931449446, 501.30287663191365, 602.5465282721142, 821.665376800664, 884.8270305826502, 10.721700442151706, 232.24591805697617, 831.3441146019575, 817.5215989975876, 969.1446666435244, 148.24599303543474, 93.54846701406885, 277.87601238937503, 110.98025131808699, 90.84837489960171, 175.65245553781764, 636.037069366953, 636.7444252780584, 367.8434816792964, 832.9827005178371, 392.9587708198537, 578.4635763165217, 961.1361237212602, 429.560463443501, 263.6417885575442]",8204922.85
Perth_49,2+2 CMAES,"[557.1464924955769, 914.1498275893746, 891.3771998286245, 647.23635847378, 732.8393117904617, 89.92076386192687, 163.90995870619128, 429.38994946370855, 218.45266308851873, 426.4053041166161, 652.2108938328439, 957.419721904713, 68.08459185083925, 655.6007627360408, 137.90679154086948, 617.066457384407, 839.8135710422627, 497.27521661238103, 451.5795861518908, 53.15721229040964, 764.1768921041962, 518.3778863588982, 456.7444528769334, 824.334212634772, 716.6992825338745, 334.80502532489555, 348.3735198106948, 817.3824200402322, 819.7969011536692, 828.1621612408437, 468.57101023329324, 840.3910619694713, 489.5214119826633, 947.7046605906049, 742.613213586239, 367.19563587491916, 886.4068674530914, 387.39487403871834, 992.5334674729199, 136.97411528701764, 910.5366219511747, 444.53945393185654, 749.1560458336305, 0.8423272983271637, 959.9831912130844, 531.8422379579011, 410.43785343288033, 510.5739586094865, 689.7992356824228, 971.357296368213, 932.3007848921263, 538.3509099193155, 717.8042741361883, 99.3867868577146, 130.2555306168846, 311.61349172141587, 924.7173549817828, 443.02480767428574, 891.5750838502165, 673.9054865483768, 418.1502863440373, 672.5384893133205, 213.81492043231646, 155.51015846762508, 531.5500216763321, 438.35704819248673, 26.18134644315576, 667.9618667168012, 369.9768545808082, 787.759532958158, 567.6324209368097, 529.8609344385376, 171.72605258101603, 452.1345643644587, 56.068803093758305, 374.90064718039815, 516.6301775879712, 837.6196703036182, 62.982471306562424, 238.40307383930022, 86.05469363010609, 240.06432438036495, 340.38744630331996, 165.18629115217635, 541.5448607457707, 589.9021013659983, 97.29526479023718, 199.1846199909328, 718.5136731606281, 968.2393328063417, 282.18056453462594, 712.7874552812858, 535.2459077920048, 392.99940043107057, 506.66610824645437, 439.88107178416294, 204.08803089085762, 992.1689358833834, 107.30254396165698, 595.2864905143376]",8204922.85
Perth_100,CMAES,"[12.484912561312585, 187.4443443018516, 1.9387422329220727, 472.69419478419616, 428.95713911202455, 304.3452516896685, 177.5548804545734, 140.90549294001835, 236.19696448638723, 777.4392459635756, 92.55834673899523, 290.07093513109527, 954.8309868780318, 838.1619292210814, 229.8478877973195, 640.4356471558676, 367.4005939478458, 67.2743195621904, 731.9935819422985, 956.6701007101742, 321.5428338260428, 626.0026074660605, 31.301322183199563, 601.6690403817006, 480.2170260748924, 94.36079592316192, 497.66771155621205, 333.4217956471131, 280.1270998229219, 415.0049004866172, 36.30850469672635, 321.1110674352062, 9.813272552401026, 568.1227723148511, 291.04906218148784, 41.89870093344776, 375.60666134955983, 873.9692669275349, 726.2475407034806, 963.7800005663016, 585.9889542051476, 745.3450776513017, 401.8069608135387, 918.7137609779537, 560.2034603152845, 301.42567579831774, 604.1889590652497, 853.8846893714164, 488.0689235048531, 139.61638741912049, 519.6727147132095, 681.6495464358852, 924.6764065652673, 828.3527864874357, 513.7775457532425, 698.5325424794314, 180.29552052176209, 44.509879252487174, 394.18681114882065, 535.1556995488113, 548.5119592579738, 678.1509426625253, 543.7810260294603, 398.85687756950745, 386.0256054720276, 276.3464004583873, 231.74830916554, 486.82165405659845, 769.4070196622873, 193.5409388838642, 932.8113291594223, 11.282093007421333, 241.1315150705376, 591.1419875566902, 30.014057350299574, 810.4393306535488, 510.9790068253041, 641.0759267833332, 726.2179254326463, 267.61066536010935, 347.8607869935159, 121.28563663233078, 918.8827989748003, 705.5985312151671, 160.8605434642285, 444.9173423107484, 114.09894211074045, 74.91768345860007, 422.4838784006434, 183.6394599156488, 624.5375138284106, 44.03536078785991, 897.1444326881885, 347.9974247229658, 757.8272604112574, 25.50225521114559, 787.043807942095, 205.16484706335154, 185.84976131012465, 858.0712291761231, 621.1923644165929, 212.77732052263096, 80.16244468275316, 910.4251375070518, 779.2083042464554, 799.9742559935046, 576.2938570466501, 236.26855526442108, 62.907476099728896, 533.2773835598942, 78.28324469604782, 466.37397836441585, 105.60287135248932, 248.14840604562406, 313.9574124186289, 396.92334367186737, 453.9626963577477, 322.3129263285964, 592.1302280904744, 116.40218075823147, 231.56932961579506, 16.264937726966615, 401.8340084804787, 971.5395170134422, 699.6553549793424, 449.8020201311601, 836.4031950488047, 452.09772923849505, 690.6146320326543, 369.7364727718084, 636.141367729337, 434.30817425562856, 661.6823360441837, 871.3250646482777, 863.2967750967698, 610.9492119301663, 550.0843675766158, 38.66471154987263, 16.96502412867175, 426.0175353040347, 432.4138123745395, 843.7241461592621, 82.80770011137695, 751.0738465520017, 740.4617126513834, 714.4979998573126, 231.22654049935522, 356.72635796676644, 832.0771605071434, 834.304129465834, 549.6176936598954, 722.1286362467258, 195.36918328576834, 871.3491079555689, 794.6051095301231, 851.7243058455994, 200.37937960900047, 438.33092863853614, 674.641101119871, 171.64515349532417, 306.34261503564113, 876.3107100759635, 192.9294232814541, 493.1766441831653, 174.86579907945384, 397.95549023225703, 731.9009097253999, 566.6884279304815, 366.1574938310129, 909.7175972425688, 537.9083003709802, 667.5765220456175, 751.9539703987215, 275.2218116057602, 288.59436268211977, 25.397618142717576, 276.23064481109645, 368.8523666522167, 893.7545843705972, 209.0499669934195, 54.68354361636626, 645.5246647454895, 79.7027849996157, 75.4059272151715, 129.9250256092579, 408.0745784712686, 792.0852032420567, 647.6515188484722, 494.32251146908726, 13.137303654448882, 677.5919781694569, 358.8433434986744, 980.4840769574465, 260.09700521322327, 726.8110295959999, 602.7406634391746, 152.23959374867138, 527.2576315460082, 886.1402339809482, 77.77021119934294, 821.3040493587099, 353.42488606893613]",14515970.079999998
Perth_100,2+2 CMAES,"[481.4872884067874, 145.20204316640036, 448.54866463350146, 525.4622298474425, 308.8640918553559, 993.5480127480662, 442.8237707254129, 929.2180464768657, 299.0614394489442, 844.0352856397002, 629.3006375059581, 426.8375961712271, 269.81041819039774, 832.9496322376044, 590.9311175111953, 974.8598538482227, 146.07674266076037, 527.8755224707593, 676.4336740282076, 525.0428466142077, 25.61336538875312, 290.7071155545521, 433.55949203461915, 586.1934739364765, 63.096185435098825, 787.9810910753635, 951.9241804084562, 734.1023478664694, 736.5368265821593, 80.21797228727897, 526.0350458222438, 185.64140715248058, 183.0515222973815, 310.11124738977526, 410.5412050215849, 52.94494275273783, 131.98745426332746, 25.167902427934944, 38.18373645229273, 581.0042291143013, 951.1099946357741, 334.4231074484173, 369.9621306829782, 695.0505888786663, 463.1654992695947, 868.0110570674707, 835.980003454894, 56.338562848056505, 10.48447516288872, 719.8809451090426, 139.37855928016467, 111.84427656266911, 979.9410235556041, 242.90396539372398, 331.47969484102856, 462.0991419071068, 577.4846401205963, 834.5157940392112, 887.2626152306169, 101.32813587812555, 115.51702503392785, 530.52921327878, 723.4845719131889, 551.8564630541898, 27.91426429935587, 425.5870208583257, 318.13339735251844, 91.12388234147234, 220.0758624183099, 51.15031654990764, 426.70240686891526, 975.8171907193574, 82.44834207427326, 642.9051426559362, 142.85913779979938, 71.24847083476547, 74.44893587663516, 261.60960281311145, 991.145993348215, 872.1395406901374, 885.2454598337406, 207.71071823026594, 871.654901140694, 230.01038586430104, 571.3091881821713, 334.11176973919277, 815.0776268901385, 638.0509194390244, 542.442058442624, 20.47077162888034, 570.671147814725, 412.33431503603396, 689.5711011755726, 717.1444089697515, 981.2866706429465, 279.77569288035534, 292.0137300085895, 832.929235088256, 46.1454478460605, 118.20662871909957, 646.7561663731788, 645.1900989781934, 681.3006700747765, 120.69990110098314, 714.412122868, 908.1951058899467, 299.3648364063476, 225.57862242946553, 487.8670305386157, 128.6438118149328, 975.7805461628197, 423.5209183613083, 573.7722195682077, 552.9285276068866, 278.1931352783321, 348.13704294183145, 790.7938687994247, 928.1556823868139, 392.5258756175283, 495.9194266105192, 746.7125356112316, 465.5013726816214, 17.780190436304284, 930.8978567215253, 43.74569555653527, 312.7710987227492, 578.3343082592867, 544.4861437557081, 469.0795749996707, 240.37417748106603, 209.70157567902234, 866.1462121940694, 0.9321183321214918, 432.9485231908433, 116.4035303495098, 580.203067380043, 514.2496414329017, 388.6460824053189, 661.0760824303545, 793.1020021771316, 7.785171942216526, 345.9691461419647, 425.19508461252525, 506.949160732865, 114.52465243570802, 86.06655144667535, 360.61974548932034, 880.0767424535543, 900.2529090032945, 643.182967270574, 336.389120453852, 586.4567659647073, 792.2950709376905, 165.11379111774733, 253.9686669054809, 150.15243397286557, 315.6395356980529, 942.5396454960246, 331.85847658808717, 248.36553033821852, 286.83341964264577, 958.4469760111981, 383.28182615672324, 792.8729423331712, 436.268392821274, 141.52343819029218, 424.3714443814715, 486.8753262144218, 406.9685882307174, 401.8876538819953, 79.65959391718712, 714.0079735875464, 253.3946066050187, 332.78792610764367, 888.1148803936309, 318.7273588186052, 217.4034831508249, 166.0623253319511, 659.6928647674516, 969.1173329632052, 366.74448654918353, 34.61333593532071, 305.3151256033774, 553.2142722168235, 470.05625309228253, 687.4518554636805, 599.0781559964938, 150.80946726337893, 355.60014012579194, 489.60887232775525, 620.9061604215634, 904.6910865818517, 642.533195065486, 72.02739784892862, 533.9005217414394, 318.008433696683, 875.414558250521, 378.8169601321466, 975.023764286218, 60.051328057767144, 875.944566762787, 867.4660511011302]",14515970.079999998
Sydney_49,CMAES,"[378.7110300344045, 560.1003201108043, 992.0352761773102, 200.6403253136082, 234.34058258674398, 200.57039022454194, 397.4929472551688, 521.5442482285125, 279.6424537188514, 708.408202441563, 621.0020695075568, 629.4142309083122, 51.76456946200315, 462.51010626189327, 782.6216740507563, 563.1496425959994, 951.6057826935412, 445.5942457051117, 768.2010995600697, 799.2057867846031, 285.8019449271601, 356.9542951692336, 718.5024077966858, 165.26876024034559, 591.0793772823928, 467.6015283398345, 974.2489555414851, 998.3079793312434, 792.402146978751, 254.93157682540885, 922.2142795164938, 253.03582262575418, 692.6893877608491, 268.35345238021034, 251.71854507052223, 855.3984296942218, 198.47432512287764, 466.6910262072578, 409.5164782734613, 649.9212870300425, 429.3072586496154, 434.87986116983285, 588.6535370394879, 296.1402033743881, 821.9871605109836, 896.972403707131, 557.7385671266102, 933.7494488955498, 356.6716396289553, 330.9724744774326, 272.0511749443417, 467.0789164020862, 833.0261970753453, 432.975722635028, 434.49052123984126, 844.390341735763, 518.2076624202352, 903.312604876019, 197.036388989515, 193.44749980789143, 112.20456283781058, 128.36816716156454, 509.3284735076214, 300.58754389020436, 725.2739854147085, 587.7450997617829, 252.11507034032257, 280.8247720279972, 26.6533507767866, 441.7900402881934, 441.2715875871984, 990.910442595498, 749.2023905325163, 780.8912657437745, 516.9780104872865, 100.54309949228193, 566.3838689624392, 48.577935938966405, 724.4541857417663, 631.408002208795, 541.4323424729113, 177.1492731299475, 134.57334959257582, 151.0215101014763, 687.1884540919209, 867.7875810078946, 742.0056568619252, 650.6210698373444, 622.7508455649072, 621.448961198335, 141.06583970122622, 366.43695120707577, 868.9247133981931, 47.90830222903078, 521.3748160733929, 651.768947957071, 888.4858955561201, 956.2791355357857, 776.1225382677828, 774.8948919490851]",8130842.640000001
Sydney_49,2+2 CMAES,"[250.54554354685476, 424.84034093311436, 905.376968565111, 346.86179041043465, 324.1256571119442, 314.5355425726056, 748.9797202539561, 185.77958945304545, 61.65178130258457, 749.4798342062641, 396.4995452038598, 703.4724928084553, 734.4786603262269, 418.5846974198505, 505.7818133293525, 916.894796521068, 618.5560091201327, 229.6888196957512, 659.9202293090883, 603.8127229342026, 267.3620718674545, 112.30649692933204, 636.7350495071165, 521.6569928226209, 240.0460862219872, 713.884099160903, 838.4639024731646, 727.6102363444537, 94.76348992039702, 490.7606609716669, 946.2010495502399, 856.3410203988971, 334.93887311851677, 941.0620518818598, 942.5876716438495, 692.5128556923646, 798.6325843269545, 274.6898524775281, 720.5239302378255, 655.5921424449707, 249.7248463145484, 570.9841486456054, 678.0931861111723, 516.6690143643425, 892.7667019875195, 988.0910639128261, 568.7587808907609, 596.0396198694252, 569.0771028494294, 991.5560682072804, 349.5869608941142, 867.6407155549142, 341.80949235456757, 220.6935699825427, 210.7632656538676, 115.34105772795961, 66.77512155861056, 975.4116975735365, 586.17744549482, 840.2088212360562, 367.0961726047762, 46.318656813686935, 892.149163865495, 751.228641815749, 4.230998562589171, 894.726007780047, 375.3593736336339, 614.432060734973, 984.6952028954195, 604.9939752274283, 446.33370843643115, 208.20842747031108, 851.7463180625176, 188.6716806675435, 93.06828811138917, 237.84357671468536, 433.84992088813107, 559.4157846936482, 769.3678167446086, 305.19074544794756, 752.6799463765632, 764.2247125551345, 834.2966211044441, 582.7506881748382, 440.54787065364206, 385.5443109440189, 421.4190733137222, 65.33288048619549, 771.850331022538, 184.67433822125832, 717.0849694878896, 822.8490738485871, 559.648626838017, 780.0706966196312, 97.96520957406929, 910.1807075032522, 880.2089173969106, 108.93354711786411, 987.2175882891195, 250.39398169267378]",8130842.640000001
Sydney_100,CMAES,"[302.2827669866512, 271.0472564408461, 602.4081218588005, 417.0450344334529, 532.5669280875078, 190.47294717523135, 863.6928595330155, 209.76859882682183, 753.8624558041051, 850.4429557544864, 880.6992143998111, 933.0138247153316, 589.9764328638539, 865.3814323818217, 339.96495713467937, 234.83916083575832, 507.87214291272056, 322.45259901278223, 694.6288749940413, 217.43737558637068, 345.39797619904937, 395.2054948915804, 809.8168056842352, 882.2209860449611, 763.8985541316005, 508.0523009206195, 845.8043031147733, 867.9227356044297, 471.8450160454124, 287.18722857077563, 756.4435255933961, 344.62993115237515, 27.95818742808561, 332.16842916137847, 611.4225694584428, 756.3729141982013, 214.5506547774801, 426.2998748802166, 603.040109117525, 289.13839762650275, 904.6893276567957, 736.2951443549957, 325.41596544119903, 588.5110859826237, 289.36378648802844, 966.6130476648332, 113.96766319041994, 704.3720177403995, 999.9542522999988, 432.3443148627294, 742.6129132091456, 251.76122601307333, 582.0452421730524, 640.6253637003643, 714.1139060860983, 568.5157793246783, 258.01109224696035, 681.6956785744284, 697.7338716519286, 244.98334474268412, 943.2759193517352, 682.4053579783084, 269.191415459337, 912.1564494569222, 142.73097070036076, 470.70363615344587, 437.6164382093487, 73.3966745041999, 419.2006562640772, 2.453423017855125, 867.9533921838656, 423.1183174816814, 650.581035475129, 600.1846336268916, 208.80339936390322, 485.52420538840863, 657.6576649377587, 558.9774924473987, 434.6436102400841, 386.4475378375181, 503.18358891203025, 154.1608471491017, 113.12027269532967, 794.6569305008884, 19.551139237164037, 284.7743075881825, 772.4776988311135, 301.195028274892, 261.2871709977062, 998.2894646420907, 558.5243725784318, 387.99067769192305, 578.4290436768531, 597.72621280716, 867.3458179183785, 847.7488814459596, 204.71646171144457, 711.8234513002079, 883.9349119021878, 79.80678017386441, 326.3108495982507, 744.1359561895737, 988.8441133449788, 200.66589922339665, 249.68109364996957, 616.6941361137868, 615.7496383243815, 176.51725145277172, 598.4239774971969, 979.2023692337782, 258.2490979637565, 755.4445826608261, 119.82600948715718, 448.84641468760725, 19.832113218419103, 453.02153574533344, 945.2020260316422, 321.06203513223977, 516.074298734131, 857.3585636616693, 108.89503980960083, 664.6029686269165, 407.659907822318, 109.99107692916347, 787.8688732097567, 686.0904614495458, 232.3695984551997, 243.32598123862877, 785.9059508769832, 853.8258370367912, 837.6676935403787, 686.270038779196, 23.16763921517466, 177.8223083166137, 229.85210517818447, 820.5968308489787, 391.94444429531455, 464.85268393964895, 555.4008050433282, 74.90364192719575, 953.4876994192998, 769.8352767511643, 560.4211937936897, 927.5942630973157, 894.695472253404, 781.1655942586021, 520.749534975873, 93.53726799141444, 555.5409394086508, 866.1198020323559, 758.7413906235527, 164.70131922390195, 428.2745055661722, 809.5189567137736, 703.0050128220666, 443.1425691235731, 506.321003149974, 552.6202868670284, 902.5652984769135, 709.8801256002397, 788.0516169985536, 347.8745221593669, 403.020475027506, 629.3095223779187, 394.7904687098166, 559.5990142470222, 35.65691414124424, 505.29955930740897, 596.3956590354841, 968.6142797854897, 713.1890956245004, 747.7291538733665, 33.58671565157848, 33.026642319015046, 586.7240480543009, 901.1422737858213, 377.6738251423746, 586.6855720462854, 415.72132846690016, 251.4638916450928, 104.83616133544541, 130.94803975092347, 254.95764507186516, 487.6503066203926, 737.8452624507903, 374.79086572029206, 559.9499648219572, 120.86946938804839, 298.2843447937607, 507.7641054545914, 916.5774248567412, 422.65171778616997, 632.418461030035, 22.493535427231595, 966.7727641936623, 481.7684287135478, 556.4940278535878, 710.2822095374293, 972.5543640120251, 776.3609686263803, 488.41921145970247, 843.3646970790818]",14494982.82
Sydney_100,2+2 CMAES,"[199.95113587299383, 865.5780380609249, 852.5169792733492, 653.888532126337, 461.79176713502727, 216.12423302193406, 477.89088225375997, 488.1211105740022, 977.1522945962106, 141.67394923620026, 535.3647514095082, 610.5229330894774, 971.1306468935808, 14.389851392141276, 581.4603900860734, 440.55113493011436, 94.046017170726, 760.0403200912558, 666.4857184153241, 224.49243220488927, 807.8086797254356, 8.113416865183918, 713.6526574381737, 769.5973484986689, 393.85178084764186, 140.01606250305898, 165.00924962651044, 141.10569648956536, 85.4877672208781, 453.94666911103633, 402.128245363184, 146.03747608611917, 839.0422608327649, 965.7745272643382, 406.3746758277604, 912.2200525395866, 727.6197394784338, 409.0870693153486, 662.1081760697648, 946.8075437551081, 147.57703599479663, 249.03497817319354, 623.6849892047668, 663.7158420531223, 232.6314120552823, 776.1811846249542, 401.77462434904, 417.5026870445711, 674.3674660809772, 931.298462548698, 147.74257090563412, 453.5540050890478, 299.92797409936475, 134.0020498498861, 485.3435328303774, 136.9024640946826, 857.7732674170317, 616.1137050483735, 379.6434001390118, 187.02488664383773, 234.04249648125085, 921.2271901834163, 797.4355991989215, 964.743684322322, 875.821509286095, 301.44660500290854, 754.3375590926915, 390.42355984446533, 399.1885022130571, 858.9518516200861, 315.4275301378419, 56.818214882652136, 795.7883713520088, 171.17904368599392, 89.92734043428564, 282.2657133118463, 416.4584911140888, 930.6221683594612, 984.9015266424973, 597.5179996047873, 40.1980962889013, 528.8222799326145, 721.2345509441332, 914.4693064375052, 395.2590811472975, 837.4715286598292, 732.7521281862715, 608.3814264751301, 114.8569877451096, 537.0651205123659, 284.06664054231913, 409.7967204730003, 424.7382063223533, 957.465801214677, 813.7696289043179, 209.56813958012927, 833.6179216850877, 283.28347539889694, 566.9592705613252, 944.758045417287, 13.519277927954262, 643.9573444855912, 695.8847177475695, 320.3432458934078, 630.6756664783117, 795.6732516515202, 435.0153777208082, 935.0806361668924, 797.8566692792875, 462.8964254690637, 849.9779326226829, 837.9259772533014, 133.6736577628817, 20.325406685229066, 121.68974916783455, 955.441538505429, 769.2502504988928, 958.1970376087811, 942.5051320917972, 568.83469076138, 620.6724439234775, 302.8131853358571, 163.74709760999102, 629.2726089694992, 120.58748706993777, 750.6146894849303, 967.866836651645, 56.58184549652244, 546.6638000175271, 564.8289073583277, 274.72672773387967, 935.9792072079879, 869.4756504365627, 19.825270153803487, 767.1103137710671, 523.6454279035112, 75.23662249464836, 554.362887446899, 65.45835318586772, 754.9320095779535, 609.5767583601548, 447.0962865059656, 156.15074289176948, 836.6888876939181, 789.0947366315346, 980.6866961779044, 207.9229339885184, 969.286448988324, 416.73769283690444, 263.7495677768205, 851.7566473601572, 264.30059806461696, 765.1547959760162, 594.9864165920726, 630.6476051558213, 797.2194384055622, 711.2757030495569, 684.445121945215, 806.8560357987174, 118.43245552735485, 663.3408676113123, 264.6558840328322, 102.38682396454477, 518.4464996876758, 9.784785168596379, 456.98250088245976, 812.2837235397085, 366.327568924513, 652.2882656970947, 529.2459604454351, 330.3637952950899, 367.62633053614, 98.40082917707238, 103.24296196594653, 380.0503761072288, 195.72933025294796, 510.7916725380004, 155.70662390457173, 722.2495312212654, 497.300073659095, 581.269530145551, 195.87895713688863, 674.2709449834008, 779.7571507954668, 651.7966773061947, 638.5766169852677, 195.06966159241415, 212.4484025582915, 829.6780141867013, 270.00036034025754, 967.6342455972559, 380.3928308001042, 250.925589990767, 536.1339822620051, 332.57510576199843, 953.8897563297202, 528.1425297295644, 516.2521092965187, 674.978643037136, 213.363384199057, 338.8155194893843, 950.3812185482865]",14494982.82
